NAM 1 Hum BME280,NAM 1 Hum SHT30,NAM 2 Hum BME280,NAM 2 Hum SHT30,NAM 1 Temp BME280,NAM 1 Temp SHT30,NAM 2 Temp BME280,NAM 2 Temp SHT30,Luftdaten 1 PM10,Luftdaten 2 PM10,NAM 1 PM10,NAM 2 PM10,Luftdaten 1 PM2.5,Luftdaten 2 PM2.5,NAM 1 PM2.5,NAM 2 PM2.5,Reference 1 PM10,Reference 2 PM10,Reference 3 PM10,Reference 1 PM2.5,Reference 2 PM2.5,Reference 3 PM2.5
41.7,46.37,42.23,47.39,25.61,25.24,25.36,24.95,6.86,8,7.35,8.06,5.8,4.1,4.87,4.46,30.7,20,21.2,16.9,10.6,9.9
40.52,45.08,42.39,47.29,26.48,26.17,25.56,25.31,7.3,8.93,7.79,9.16,6.28,4.41,5.32,4.98,37.3,21.7,23.1,18.9,11.2,9.8
36.11,40.1,39.58,44.32,28.61,28.48,26.85,26.66,8.81,11.75,9.16,12.55,6.97,5.71,6.05,6.01,43.3,27,26.9,21.8,9.1,10.1
32.76,36.38,35.42,39.52,30.16,30.18,29.22,29.28,9.7,12.88,10.73,12.87,7.05,6.19,6.67,6.65,44.8,29.5,26.6,22.8,9.4,9.6
27.8,31.22,29.34,33.03,32.23,32.29,31.33,31.39,8.68,11.47,10.63,11.75,6.39,5.28,5.94,6.06,75.4,37.6,35.8,24.8,10.6,9.5
26.15,29.55,28.01,31.85,32.79,32.74,31.78,31.56,7.87,10.17,10.32,10.82,6.22,4.66,5.99,5.55,76.1,39.5,31.9,21.3,9.9,8.4
25.16,28.63,25.8,29.54,33.22,33.07,33.35,33.14,8.55,9.94,9.15,11.57,6.16,4.77,5.89,6.54,63.2,34.9,27.8,19,8.7,8
24.12,27.42,23.13,26.83,33.44,33.32,34.62,34.2,8.14,9.52,9.69,11.4,6.32,4.68,6.33,6.14,52.5,30.4,22.6,15.9,8,6.8
24.25,27.67,24.64,28.4,32.9,32.62,32.73,32.23,7.85,9.48,8.79,11.84,5.76,4.47,5.52,5.58,53.2,31.1,23,16.1,7.3,7.2
36.92,40.03,39.65,44.42,28.39,28.6,28.1,27.68,8.69,10.94,9.1,11.88,5.35,3.9,4.73,4.6,79.2,33.1,33.8,18.3,7.7,7.7
25.34,29,28.82,32.12,32.64,32.3,30.9,30.76,5.29,6.81,6.14,7.63,3.55,2.74,3.42,3.22,51.3,40.2,28.5,17.1,8,7.4
18.7,23.1,24.79,28.39,36.69,35.42,31.27,31,4.92,7.1,6.16,7.29,3.67,3.04,3.81,3.47,40.6,20.7,14.7,13.5,4.9,4.4
