NAM 1 Hum,NAM 2 Hum,NAM 1 Temp,NAM 2 Temp,Luftdaten Hum,Luftdaten Temp,Luftdaten PM10,Luftdaten PM2.5,Reference PM10,Reference PM2.5
41.58,42.78,16.22,15.91,53.57,15.38,8.51695652173913,1.97086956521739,21.7,12.1
40.45,41.8,16.81,16.38,51.07,16.02,9.84333333333333,2.59333333333333,28.2,11.9
37.86,39.28,17.96,17.46,48.09,17.05,9.55304347826087,2.51652173913043,35.2,15.1
36.87,38.95,19.6,18.77,46.72,18.45,9.64791666666666,2.52,38.4,15.4
36.59,38.52,20.62,19.95,45.78,19.97,9.64478260869565,2.41130434782608,41.3,15.1
35.68,38.82,21.92,20.56,46.41,20.33,9.61208333333333,2.21666666666666,50.4,15.8
40.41,43.73,21.28,20.02,51.1,20.05,7.82541666666666,1.80583333333333,50.4,14.6
42.3,45.27,21.37,20.35,51.85,20.57,6.10347826086956,1.93,40.3,12.2
44.46,46.79,21.26,20.57,54.03,20.54,8.32291666666666,2.2875,37.8,11.8
49.72,53.89,20.08,19,65.23,18.66,6.18583333333333,2.39041666666666,46.4,13.4
47.8,53.54,21.87,19.81,63.58,19.45,5.26391304347826,2.33739130434782,32.4,12.2
53.28,61.29,20.88,18.64,75.17,18.53,4.9825,2.61541666666666,22.8,11.4
46.29,53.78,22.31,19.64,66.54,19.37,5.78217391304347,2.5695652173913,21.6,12.3
43.28,50.66,22.79,19.98,62.22,19.39,5.12958333333333,1.8675,25.3,12.4
59.31,66.07,18.94,17.44,86.68,17,4.59625,2.10708333333333,26.3,11.3
56.84,60.03,18.79,18.02,75.72,18.2,3.52391304347826,1.28,14,10.8
57.23,58.62,18.17,17.89,77.63,17.25,4.10458333333333,1.82666666666666,13.4,8.7
60.07,60.98,17.24,17.24,83.55,16,5.6025,2.13875,16.9,9.8
,64.74,,16.56,89.36,15.2,5.20130434782608,2.79260869565217,20.4,10.7
,66.9,,16,91.4,14.6,8.30458333333333,3.82833333333333,14.5,11.5
